HourlyActiveSessions,HourlyActiveUsers,EventUtcYear,EventUtcMonth,EventUtcDay,EventUtcHour
147621,147119,2016,12,23,14
78066,77698,2017,1,7,23
84295,83928,2017,1,23,7
89266,88807,2016,6,25,20
164358,163538,2016,7,18,20
164724,163910,2016,7,20,18
137764,137152,2016,9,5,14
84863,84460,2016,9,14,5
113372,112862,2016,9,29,1
182877,182074,2016,11,2,19
172530,171783,2016,11,11,16
96894,96482,2016,11,16,11
78311,77939,2016,11,19,2
116441,115950,2016,11,24,15
206983,206098,2016,12,14,16
207567,206914,2016,12,16,14
101129,100633,2016,12,17,18
99333,98854,2016,12,18,17
57879,57616,2016,12,31,6
79027,78701,2017,1,30,2
60872,60553,2016,6,3,13
29267,29131,2016,6,13,3
164549,163907,2016,7,1,12
93387,92918,2016,7,5,9
61455,61166,2016,7,9,5
98962,98500,2016,7,12,1
195113,194282,2016,7,12,13
154726,154022,2016,7,13,12
102315,101798,2016,7,16,16
84957,84578,2016,7,30,12
95835,95309,2016,8,13,20
97437,97018,2016,8,20,13
78057,77701,2016,9,4,23
95473,95010,2016,9,5,7
82031,81645,2016,9,7,5
96087,95662,2016,9,16,23
88173,87795,2016,9,23,4
219730,218880,2016,9,23,16
114789,114281,2016,10,15,15
94650,94233,2016,10,31,9
110166,109652,2016,11,2,23
94729,94283,2016,11,23,2
185641,184811,2016,11,30,19
88636,88220,2016,12,1,7
104414,103931,2016,12,7,1
158410,157820,2016,12,7,13
89122,88732,2016,12,13,7
96832,96442,2016,12,22,23
87004,86638,2016,12,23,22
174942,174244,2016,12,27,17
66359,66053,2016,12,30,7
82446,82054,2017,1,1,18
102126,101723,2017,1,18,1
165855,165446,2017,1,30,12
67889,67514,2016,6,13,14
66788,66431,2016,6,14,13
36494,36331,2016,6,22,22
101784,101341,2016,8,1,23
200560,199919,2016,8,5,12
81231,80821,2016,8,12,5
111737,111188,2016,8,23,1
73504,73110,2016,8,28,1
109467,109004,2016,8,29,1
97524,97080,2016,9,11,15
146379,145850,2016,9,15,11
130483,129941,2016,10,27,22
189939,189166,2016,11,9,15
83124,82720,2016,11,15,9
76490,76181,2016,11,27,4
105852,105433,2016,11,30,0
205886,205042,2016,11,30,15
92734,92287,2016,12,5,8
87715,87342,2016,12,8,5
88105,87661,2016,12,17,21
156647,155961,2016,12,21,17
185502,184690,2017,1,11,19
99349,98904,2017,1,15,20
93099,92736,2017,1,19,11
207795,207027,2017,1,20,15
101742,101273,2016,6,27,2
65598,65285,2016,8,28,5
101577,101058,2016,9,3,17
98970,98489,2016,9,11,16
149409,148904,2016,9,16,11
135180,134575,2016,9,16,21
77904,77530,2016,9,17,3
211367,210399,2016,9,21,16
117795,117308,2016,10,4,0
154415,153820,2016,10,20,21
5407,5401,2016,10,21,20
256801,255861,2016,10,27,15
186254,185478,2016,11,9,16
178776,178012,2016,11,15,19
92606,92161,2016,11,16,9
106653,106194,2016,11,19,15
87875,87482,2016,12,28,4
50953,50742,2017,1,29,9
111917,111479,2017,1,30,23
35178,34975,2016,6,1,3
34122,33963,2016,6,3,1
24426,24303,2016,6,4,11
22618,22519,2016,6,11,4
60488,60153,2016,6,13,16
68742,68350,2016,6,16,13
51325,51002,2016,6,24,18
164431,163645,2016,7,7,16
61194,60863,2016,7,16,7
198391,197512,2016,7,29,15
74340,74011,2016,8,27,3
124421,123823,2016,9,13,22
286402,285485,2016,9,22,13
117541,116990,2016,10,2,16
302890,301939,2016,10,3,15
100131,99693,2016,10,5,10
83382,83060,2016,10,10,5
77284,76952,2016,10,15,3
74098,73739,2016,10,16,2
85460,85173,2016,10,27,4
73547,73204,2016,11,4,6
