HourlyActiveSessions,HourlyActiveUsers,EventUtcYear,EventUtcMonth,EventUtcDay,EventUtcHour
55384,55142,2017,2,5,7
77270,76965,2017,2,7,5
101803,101373,2017,2,8,23
88951,88604,2017,2,10,23
95831,95438,2017,2,14,1
83854,83484,2017,2,23,8
82868,82510,2017,2,23,10
107855,107385,2017,1,16,23
246913,246154,2017,1,23,16
193466,192719,2017,1,5,15
55399,55129,2017,1,7,8
57067,56797,2017,1,8,7
68662,68378,2017,1,15,5
253104,252312,2017,1,9,16
91275,90873,2017,1,16,9
77085,76768,2017,1,30,7
53936,53709,2017,2,4,10
251373,250637,2017,2,6,15
76528,76229,2017,2,10,4
85252,84847,2017,2,12,21
73583,73230,2017,2,15,6
140014,139439,2017,2,15,21
131917,131546,2017,2,21,12
219214,218482,2017,2,21,15
74125,73771,2017,2,24,8
91729,91204,2017,2,24,23
286339,285610,2017,1,3,14
215867,215061,2017,1,12,17
75165,74849,2017,1,14,3
146618,146169,2017,1,17,12
152730,152079,2017,2,15,20
190780,190175,2017,2,20,15
79127,78791,2017,1,26,10
121069,120697,2017,1,26,12
53575,53373,2017,2,5,10
70849,70563,2017,2,10,5
71703,71398,2017,1,27,7
81982,81656,2017,2,6,6
95944,95503,2017,1,2,23
145833,145259,2017,1,9,22
54784,54556,2017,1,22,9
91891,91505,2017,1,23,2
98863,98440,2017,2,1,23
96474,96122,2017,2,23,1
68775,68447,2017,1,1,14
114408,113922,2017,1,3,23
91550,91121,2017,1,9,10
215843,215018,2017,1,9,18
90020,89608,2017,1,10,9
83168,82800,2017,1,14,1
87050,86617,2017,1,18,9
88860,88479,2017,1,23,3
79917,79628,2017,2,5,14
74616,74310,2017,2,14,5
77114,76757,2017,1,6,9
85094,84771,2017,1,9,6
278726,278073,2017,1,30,14
90112,89543,2017,2,27,2
168956,167827,2017,2,28,20
114811,114353,2017,1,5,12
89719,89335,2017,1,12,5
72272,71948,2017,2,3,7
87218,86856,2017,2,7,3
95263,94852,2017,2,16,0
83933,83621,2017,2,17,23
175612,174937,2017,2,23,17
113222,112719,2017,1,11,0
91394,90994,2017,1,14,21
159499,158868,2017,1,19,21
