,week,hour_of_week,WindowsToAgentCalls,rate,treatment
1693,11,61,475,0.0029168483300275718,0.0
1694,11,62,432,0.002896432426633769,0.0
1695,11,63,410,0.0030367895949218954,0.0
1696,11,64,430,0.003531624465123155,0.0
1697,11,65,338,0.002846963098978294,0.0
1698,11,66,266,0.0022670132526526614,0.0
1699,11,67,193,0.0017637490176009357,0.0
1700,11,68,154,0.001526051885764116,0.0
1701,11,69,87,0.0009376919843502442,0.0
1702,11,70,31,0.00035403889859640707,0.0
1703,11,71,16,0.00017628328724259885,0.0
1704,11,72,18,0.00018490744355186654,0.0
1705,11,73,5,5.005656391722647e-05,0.0
1706,11,74,12,0.00011722756801641185,0.0
1707,11,75,9,7.946598855689765e-05,0.0
1708,11,76,19,0.0001338395756581033,0.0
1709,11,77,44,0.00021876398349326306,0.0
1710,11,78,224,0.0009487866966551034,0.0
1711,11,79,310,0.0012758094187659218,0.0
1712,11,80,366,0.0015357760284664059,0.0
1713,11,81,435,0.001981108874456903,0.0
1714,11,82,388,0.0018176281826060479,0.0
1715,11,83,465,0.00226664521884094,0.0
1716,11,84,453,0.0023504140464479174,0.0
1717,11,85,462,0.0025724976613657625,0.0
1718,11,86,406,0.0026377681622682205,0.0
1719,11,87,397,0.003002775865850799,0.0
1720,11,88,373,0.003198147989368087,0.0
1721,11,89,318,0.002859172278616448,0.0
1722,11,90,258,0.0023768505808543765,0.0
1723,11,91,232,0.0022927166716078663,0.0
1724,11,92,149,0.0016131826252652548,0.0
1725,11,93,79,0.0009719368610130288,0.0
1726,11,94,23,0.00030232130182181443,0.0
1727,11,95,10,0.00012533213014488394,0.0
1728,11,96,8,9.55885867227453e-05,0.0
1729,11,97,6,7.002474207553335e-05,0.0
1730,11,98,7,7.78642936596218e-05,0.0
1731,11,99,8,8.293765162039437e-05,0.0
1732,11,100,19,0.00015424707133521135,0.0
1733,11,101,46,0.0002676675104012103,0.0
1734,11,102,223,0.001113852731686363,0.0
1735,11,103,302,0.0014779144767106127,0.0
1736,11,104,408,0.002033269876708096,0.0
1737,11,105,391,0.0021462525661715467,0.0
1738,11,106,434,0.0024747535225322316,0.0
1739,11,107,497,0.0029778310365488315,0.0
1740,11,108,441,0.0028113704315230487,0.0
1741,11,109,455,0.0031545741324921135,0.0
1742,11,110,399,0.0032842479566051247,0.0
1743,11,111,384,0.003706527929267092,0.0
1744,11,112,329,0.003588842952668725,0.0
1745,11,113,295,0.0035292147198162415,0.0
1746,11,114,214,0.0027263577643866334,0.0
1747,11,115,189,0.00247693436779199,0.0
1748,11,116,132,0.0017796952945935015,0.0
1749,11,117,86,0.0012659904903505026,0.0
1750,11,118,22,0.00034670238751871406,0.0
1751,11,119,17,0.0002788027880278803,0.0
1752,11,120,14,0.00023140495867768595,0.0
1753,11,121,12,0.00020397409528989817,0.0
1754,11,122,14,0.00023131701997587694,0.0
1755,11,123,9,0.0001383529845813285,0.0
1756,11,124,15,0.00020565411719542626,0.0
1757,11,125,29,0.0003438137240954142,0.0
1758,11,126,62,0.0006507205155385762,0.0
