HourlyActiveSessions,HourlyActiveUsers,EventUtcYear,EventUtcMonth,EventUtcDay,EventUtcHour
60295,59928,2017,4,9,7
100675,100229,2017,1,28,16
173685,172518,2017,3,27,20
173821,172653,2017,3,31,16
142183,141603,2017,1,11,22
144175,143533,2017,1,16,21
102050,101640,2017,1,21,16
59359,59126,2017,1,22,11
181641,180933,2017,1,30,20
162285,161642,2017,2,3,19
63951,63686,2017,2,19,3
190715,189493,2017,3,2,19
70995,70576,2017,3,19,2
101198,100443,2017,3,26,17
71461,71036,2017,4,9,12
85128,84754,2017,1,26,3
162541,161752,2017,2,27,12
91124,90483,2017,3,6,8
80487,79965,2017,3,8,6
71154,70617,2017,3,26,1
63518,63016,2017,3,26,5
178763,178025,2017,1,18,18
83572,83188,2017,1,24,9
80282,79911,2017,2,19,20
147868,147284,2017,2,20,19
89809,89235,2017,3,29,2
203955,202661,2017,4,6,17
85197,84685,2017,3,28,3
79422,78971,2017,3,28,5
187780,186488,2017,3,28,16
98425,97952,2017,1,8,17
87306,86873,2017,1,17,8
63789,63556,2017,2,12,12
144170,143617,2017,2,21,21
151925,150989,2017,2,24,20
84368,83828,2017,2,28,4
59173,58846,2017,3,4,11
67321,66941,2017,3,11,4
167775,166905,2017,4,3,11
172421,171488,2017,4,7,12
77343,76893,2017,4,9,21
165290,164588,2017,1,24,20
159514,158922,2017,2,2,21
209589,208994,2017,2,9,14
80730,80333,2017,2,14,9
87589,87192,2017,2,21,2
73064,72609,2017,2,25,2
81227,80727,2017,3,5,23
79326,78811,2017,3,23,5
123551,123143,2017,1,6,12
90156,89768,2017,1,12,6
180528,179798,2017,2,15,16
215499,214802,2017,2,16,15
79488,78979,2017,4,4,4
100839,100397,2017,1,5,0
153715,153191,2017,1,5,13
54929,54673,2017,1,8,9
88874,88474,2017,1,9,8
209242,208458,2017,1,9,19
236983,236189,2017,1,12,15
81247,80921,2017,1,13,5
68387,68136,2017,1,15,12
87946,87526,2017,1,19,9
78268,77940,2017,1,24,6
72353,72076,2017,1,26,6
65673,65373,2017,1,29,3
232973,232208,2017,2,13,16
178972,178500,2017,2,16,13
94871,94254,2017,3,29,1
97278,96538,2017,4,5,10
93090,92546,2017,4,6,0
154343,153695,2017,1,4,21
69449,69170,2017,1,21,4
80564,80207,2017,1,24,8
